"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"173","Goa","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","171500000"
"174","Jammu And Kashmir","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","73500000"
"175","West Bengal","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","147000000"
"176","West Bengal","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","171500000"
"177","Andhra Pradesh","Shri Sana Sathish Babu (2026-32) (2026-2032)","Elected MP","49063978"
"178","Kerala","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","220563957.11"
"179","Haryana","Shri Sanjay Bhatia (2026-32) (2026-2032)","Elected MP","49000000"
"180","Bihar","Shri Sanjay Kumar Jha (2024-30) (2024-2030)","Elected MP","186200000"
"181","Maharashtra","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","196063957.11"
"182","Uttar Pradesh","Shri Sanjay Seth (2024-30) (2024-2030)","Elected MP","147000000"
"183","Delhi","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","184466426.11"
"184","Bihar","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","186200000"
"185","Punjab","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","196359074.44000003"
"186","Jammu And Kashmir","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","73500000"
"187","Bihar","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","235263957.11"
"188","Chandigarh","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","147000000"
"189","Bihar","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","237168443.49"
"190","Bihar","Shri Shivesh Kumar (2026-32) (2026-2032)","Elected MP","49000000"
"191","Haryana","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","147000000"
"192","Odisha","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","147000000"
"193","Odisha","Shri Sujeet Kumar (2026-32) (2026-2032)","Elected MP","49000000"
"194","Uttar Pradesh","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","220563957.11"
"195","Arunachal Pradesh","Shri Tai Tagak (2026-32) (2026-2032)","Elected MP","49000000"
"196","Madhya Pradesh","Shri Tarun Chugh (2026-32) (2026-2032)","Elected MP","49000000"
"197","Uttar Pradesh","Shri Tejveer Singh (2024-30) (2024-2030)","Elected MP","147000000"
"198","Assam","Shri Terash Gowalla (2026-32) (2026-2032)","Elected MP","49000000"
"199","Tamil Nadu","Shri Tiruchi Siva (2026-32) (2026-2032)","Elected MP","49356476.5"
"200","Maharashtra","Shri Ujjwal Deorao Nikam (2025-31) (2025-2031)","Nominated MP","73500000"
"201","Bihar","Shri Upendra Kushwaha (2026-32) (2026-2032)","Elected MP","49000000"
"202","Andhra Pradesh","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","196063957.11"
"203","Andhra Pradesh","Shri Vijay Chintakayala (2026-32) (2026-2032)","Elected MP","49000000"
"204","Maharashtra","Shri Vinod Shridhar Tawde (2026-32) (2026-2032)","Elected MP","49000000"
"205","Madhya Pradesh","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","220563957.11"
"206","Andhra Pradesh","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","147000000"
"207","Manipur","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","49000000"
"208","Uttar Pradesh","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","196994373.87"
"209","Uttar Pradesh","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","196063957.11"
"210","Uttar Pradesh","Smt. Jaya Amitabh Bachchan (2024-30) (2024-2030)","Elected MP","147000000"
"211","Kerala","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","220563957.11"
"212","Chhattisgarh","Smt. Laxmi Verma (2026-32) (2026-2032)","Elected MP","49000000"
"213","Jharkhand","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","232524001.2"
"214","West Bengal","Smt. Mamata Thakur (2024-30) (2024-2030)","Elected MP","147000000"
"215","Maharashtra","Smt. Maya Chintaman Ivnate (2026-32) (2026-2032)","Elected MP","49000000"
"216","Madhya Pradesh","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","147000000"
"217","Karnataka","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","215972051.45"
"218","Kerala","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","196063957.11"
"219","Chhattisgarh","Smt. Phulo Devi Netam (2026-32) (2026-2032)","Elected MP","49000000"
"220","Tamil Nadu","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","89248285.42"
"221","Chhattisgarh","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","246780257.87"
"222","Haryana","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","98000000"
"223","Telangana","Smt. Renuka Chowdhury (2024-30) (2024-2030)","Elected MP","147000000"
"224","Nagaland","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","206563957.11"
"225","Uttar Pradesh","Smt. Sadhna Singh (2024-30) (2024-2030)","Elected MP","147000000"
"226","West Bengal","Smt. Sagarika Ghose (2024-30) (2024-2030)","Elected MP","147000000"
"227","Uttar Pradesh","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","196063957.11"
"228","Uttar Pradesh","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","173830159.11"
"229","Rajasthan","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","147000000"
"230","Karnataka","Smt. Sudha Murty (2024-30) (2024-2030)","Nominated MP","147000000"
"231","Odisha","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","196084721.4"
"232","Madhya Pradesh","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","196063957.11"
"Grand Total"," "," "," ","33,68,74,82,301.82"
